genes	name	uniprot	ncbigene	hgnc.symbol	proteomic evidence (#studies)	proteomic evidence (pubmed)	references	notes
SLC25A4	ADT1	P12235	291	SLC25A4	2	pubmed:37942280;pubmed:38964323	pubmed:21795748;pubmed:27641616	
SLC27A4	S27A4	Q6P1M0	10999	SLC27A4	2	pubmed:28689405;pubmed:38964323		
SLC6A8	SC6A8	P48029	6535	SLC6A8	2	pubmed:28689405;pubmed:31552303	pubmed:8044895	
SLC7A5	LAT1	Q01650	8140	SLC7A5	2	pubmed:27006477;pubmed:30271928	pubmed:37976448	
TECR	TECR	Q9NZ01	9524	TECR	2	pubmed:28689405;pubmed:37942280		
TPK1	TPK1	Q9H3S4	27010	TPK1	2	pubmed:24555563;pubmed:38964323	pubmed:1332781	
TPMT	TPMT	P51580	7172	TPMT	2	pubmed:30327373;pubmed:38964323	pubmed:14630365;pubmed:16166171;pubmed:7191632;pubmed:8563768;pubmed:9681671	
TSTD1	TSTD1	Q8NFU3	100131187	TSTD1	2	pubmed:28689405;pubmed:30327373		
UAP1	UAP1	Q16222	6675	UAP1	2	pubmed:37942280;pubmed:38964323		
UBXN7	UBXN7	O94888	26043	UBXN7	2	pubmed:18614565;pubmed:38964323		
ZDHHC2	ZDHC2	Q9UIJ5	51201	ZDHHC2	2	pubmed:28689405;pubmed:31552303		
ABCB1	MDR1	P08183	5243	ABCB1	1	pubmed:31552303	pubmed:10947968	
ABCB4	MDR3	P21439	5244	ABCB4	1	pubmed:28689405		
ACTG2	ACTH	P63267	72	ACTG2	1	pubmed:40043591	pubmed:25717184;pubmed:27055045;pubmed:284418;pubmed:35020457;pubmed:6682109	
ACYP2	ACYP2	P14621	98	ACYP2	1	pubmed:38964323	pubmed:7796909	
ADCY10	ADCYA	Q96PN6	55811	ADCY10	1	pubmed:28263177	pubmed:2971139	
ADI1	MTND	Q9BV57	55256	ADI1	1	pubmed:38964323	pubmed:32104927	
ADO	AEDO	Q96SZ5	84890	ADO	1	pubmed:38964323		
AFMID	KFA	Q63HM1	125061	AFMID	1	pubmed:38964323		
AGPAT4	PLCD	Q9NRZ5	56895	AGPAT4	1	pubmed:28689405		
ALDH3A1	AL3A1	P30838	218	ALDH3A1	1	pubmed:18614565		
ALDH3A2	AL3A2	P51648	224	ALDH3A2	1	pubmed:36346805		
ATG14	BAKOR	Q6ZNE5	22863	ATG14	1	pubmed:38964323		
ATP1A4	AT1A4	Q13733	480	ATP1A4	1	pubmed:28689405		
BECN1	BECN1	Q14457	8678	BECN1	1	pubmed:30327373		
BHMT	BHMT1	Q93088	635	BHMT	1	pubmed:38147558	pubmed:25200932	
CDS2	CDS2	O95674	8760	CDS2	1	pubmed:28689405	pubmed:10575355	
CLIC3	CLIC3	O95833	9022	CLIC3	1	pubmed:16861337		
CRYL1	CRYL1	Q9Y2S2	51084	CRYL1	1	pubmed:38964323		
DAGLA	DGLA	Q9Y4D2	747	DAGLA	1	pubmed:28689405		
DCTPP1	DCTP1	Q9H773	79077	DCTPP1	1	pubmed:30327373		
DHFR	DYR	P00374	1719	DHFR	1	pubmed:33103907	pubmed:4394460	
DPYD	DPYD	Q12882	1806	DPYD	1	pubmed:38964323		
EMB	EMB	Q6PCB8	133418	EMB	1	pubmed:31552303	pubmed:9169423	
EPHX2	HYES	P34913	2053	EPHX2	1	pubmed:38964323		
FABP1	FABPL	P07148	2168	FABP1	1	pubmed:30327373		
FLVCR1	FLVC1	Q9Y5Y0	28982	FLVCR1	1	pubmed:30271928	pubmed:15369674;pubmed:36395887;pubmed:38513237	
FYN	FYN	P06241	2534	FYN	1	pubmed:28689405	pubmed:19758581;pubmed:32863204	
GSTM4	GSTM4	Q03013	2948	GSTM4	1	pubmed:30327373		
GSTM5	GSTM5	P46439	2949	GSTM5	1	pubmed:38964323		
HAL	HUTH	P42357	3034	HAL	1	pubmed:37942280		
HCK	HCK	P08631	3055	HCK	1	pubmed:28689405	pubmed:19758581	
HEXB	HEXB	P07686	3074	HEXB	1	pubmed:27006477	pubmed:17321512;pubmed:31942	
IMPA2	IMPA2	O14732	3613	IMPA2	1	pubmed:37942280		
KCNK5	KCNK5	O95279	8645	KCNK5	1	pubmed:16861337		
LRRC8A	LRC8A	Q8IWT6	56262	LRRC8A	1	pubmed:28689405	pubmed:29051181	
MAP2K6	MP2K6	P52564	5608	MAP2K6	1	pubmed:37942280	pubmed:36029940	
MAPK14	MK14	Q16539	1432	MAPK14	1	pubmed:28689405	pubmed:25757360	
MPI	MPI	P34949	4351	MPI	1	pubmed:38964323	pubmed:2085314;pubmed:2790058	
MSRA	MSRA	Q9UJ68	4482	MSRA	1	pubmed:38964323	pubmed:17938273	
MTMR1	MTMR1	Q13613	8776	MTMR1	1	pubmed:24555563		
MTMR2	MTMR2	Q13614	8898	MTMR2	1	pubmed:38964323		
NEU1	NEUR1	Q99519	4758	NEU1	1	pubmed:38147558	pubmed:22903576;pubmed:9292542	
NME3	NDK3	Q13232	4832	NME3	1	pubmed:28689405		
P2RX7	P2RX7	Q99572	5027	P2RX7	1	pubmed:28689405	pubmed:15304508;pubmed:19533417;pubmed:26579528;pubmed:34410591	
PANX1	PANX1	Q96RD7	24145	PANX1	1	pubmed:28689405	pubmed:20622111;pubmed:21921036;pubmed:36012667	
PIP5K1C	PI51C	O60331	23396	PIP5K1C	1	pubmed:28689405		
PISD	PISD	Q9UG56	23761	PISD	1	pubmed:28689405	pubmed:2839392	Assume residual enzyme explains decarboxylase activity unless a better explanation is found.
PLA2G4A	PA24A	P47712	5321	PLA2G4A	1	pubmed:38964323	pubmed:14726390	
PLA2G4B	PA24B	P0C869	100137049	PLA2G4B	1	pubmed:24555563		
PLCB2	PLCB2	Q00722	5330	PLCB2	1	pubmed:28263177		
PLCG1	PLCG1	P19174	5335	PLCG1	1	pubmed:28689405		
PRKCA	KPCA	P17252	5578	PRKCA	1	pubmed:38964323	pubmed:11669302;pubmed:19758581;pubmed:20231105;pubmed:25757360;pubmed:9357764	
PRKCB	KPCB	P05771	5579	PRKCB	1	pubmed:24555563	pubmed:15611095;pubmed:25757360	
PTEN	PTEN	P60484	5728	PTEN	1	pubmed:24555563		
PTS	PTPS	Q03393	5805	PTS	1	pubmed:38964323	pubmed:3276524;pubmed:3308682	
PYGM	PYGM	P11217	5837	PYGM	1	pubmed:38964323	pubmed:5240360	
RALBP1	RBP1	Q15311	10928	RALBP1	1	pubmed:14963112	pubmed:11437348	
RFK	RIFK	Q969G6	55312	RFK	1	pubmed:38964323	pubmed:5455272	
SLC26A6	S26A6	Q9BXS9	65010	SLC26A6	1	pubmed:31552303		
SLC7A6	YLAT2	Q92536	9057	SLC7A6	1	pubmed:31552303	pubmed:10764208;pubmed:19562367;pubmed:3143662	
SLC9A1	SL9A1	P19634	6548	SLC9A1	1	pubmed:30271928	pubmed:12765964	
SLC9A7	SL9A7	Q96T83	84679	SLC9A7	1	pubmed:31552303		
SMOX	SMOX	Q9NWM0	54498	SMOX	1	pubmed:24555563		
SPHK1	SPHK1	Q9NYA1	8877	SPHK1	1	pubmed:38964323	pubmed:26014962;pubmed:33334894;pubmed:33441957	
TFR2	TFR2	Q9UP52	7036	TFR2	1	pubmed:31552303	pubmed:33352721	
XYLB	XYLB	O75191	9942	XYLB	1	pubmed:38964323	doi:10.1016/B978-0-12-677201-2.X5001-6;doi:10.3925/jjtc1958.26.361;pubmed:1229165	
A4GALT	A4GAT	Q9NPC4	53947	A4GALT	0		pubmed:12888565;pubmed:29662110;pubmed:34360826	
ABCA1	ABCA1	O95477	19	ABCA1	0		pubmed:27239515;pubmed:32907987	
ABO	BGAT	P16442	28	ABO	0		pubmed:12198488;pubmed:15987364;pubmed:17642512;pubmed:29662110;pubmed:34360826;pubmed:5054461	
ACER2	ACER2	Q5QJU3	340485	ACER2	0		pubmed:20207939;pubmed:29401619;pubmed:35886939;pubmed:37522842	
ACER3	ACER3	Q9NUN7	55331	ACER3	0		pubmed:20207939;pubmed:29401619;pubmed:35886939	
ADCY2	ADCY2	Q08462	108	ADCY2	0		pubmed:16415502;pubmed:17130508;pubmed:22147898;pubmed:6421324	
ALPL	PPBT	P05186	249	ALPL	0		pubmed:8727676	
AMDHD2	NAGA	Q9Y303	51005	AMDHD2	0		pubmed:8982040	
ATP6AP2	RENR	O75787	10159	ATP6AP2	0		pubmed:33341364;pubmed:7796469	
ATP6V0B	VATO	Q99437	533	ATP6V0B	0		pubmed:33341364;pubmed:7796469	
ATP6V0E1	VA0E1	O15342	8992	ATP6V0E1	0		pubmed:33341364;pubmed:7796469	
B3GALNT1	B3GL1	O75752	8706	B3GALNT1	0		pubmed:29662110	
C1GALT1	C1GLT	Q9NS00	56913	C1GALT1	0		pubmed:6789880;pubmed:76801	
C1GALT1C1	C1GLC	Q96EU7	29071	C1GALT1C1	0		pubmed:6789880;pubmed:76801	
CA4	CAH4	P22748	762	CA4	0		pubmed:10090333	
CACNA1A	CAC1A	O00555	773	CACNA1A	0		pubmed:12384442;pubmed:23817128	
CDK4	CDK4	P11802	1019	CDK4	0		pubmed:25636585;pubmed:26418250	
CFTR	CFTR	P13569	1080	CFTR	0		pubmed:16923725	
CKB	KCRB	P12277	1152	CKB	0		pubmed:28364583;pubmed:708891	
CLCN2	CLCN2	P51788	1181	CLCN2	0		pubmed:15272009;pubmed:17576926	
ENTPD1	ENTP1	P49961	953	ENTPD1	0		pubmed:11358378;pubmed:2841133	
FADS1	FADS1	O60427	3992	FADS1	0		pubmed:33904180	
FADS2	FADS2	O95864	9415	FADS2	0		pubmed:33904180	
FUT1	FUT1	P19526	2523	FUT1	0		pubmed:29662110	
FXN	FRDA	Q16595	2395	FXN	0		pubmed:30451920	
GALNT10	GLT10	Q86SR1	55568	GALNT10	0		pubmed:3084191;pubmed:5054461	
GALNT5	GALT5	Q7Z7M9	11227	GALNT5	0		pubmed:3084191;pubmed:5054461	
GALNT7	GALT7	Q86SF2	51809	GALNT7	0		pubmed:3084191;pubmed:5054461	
GCH1	GCH1	P30793	2643	GCH1	0		pubmed:8926533	
GCNT2	GNT2A	Q8N0V5	2651	GCNT2	0		pubmed:12468428;pubmed:29662110	
GRIA1	GRIA1	P42261	2890	GRIA1	0		pubmed:19320779	
GUCY1A1	GCYA1	Q02108	2982	GUCY1A1	0		pubmed:29024896	
GUCY1B1	GCYB1	Q02153	2983	GUCY1B1	0		pubmed:29024896	
HEXA	HEXA	P06865	3073	HEXA	0		pubmed:17321512;pubmed:31942	
HNMT	HNMT	P50135	3176	HNMT	0		pubmed:12835614;pubmed:3345617	
HPGDS	HPGDS	O60760	27306	HPGDS	0		pubmed:3729954	
JAK3	JAK3	P52333	3718	JAK3	0		pubmed:21691072;pubmed:25636585	
MAPKAPK2	MAPK2	P49137	9261	MAPKAPK2	0		pubmed:36029940	
ME1	MAOX	P48163	4199	ME1	0		pubmed:5553730	
NEU2	NEUR2	Q9Y3R4	4759	NEU2	0		pubmed:22903576;pubmed:9292542	
NEU3	NEUR3	Q9UQ49	10825	NEU3	0		pubmed:22903576;pubmed:9292542	
NOS3	NOS3	P29474	4846	NOS3	0		pubmed:24494200;pubmed:32857630	
ODC1	DCOR	P11926	4953	ODC1	0		pubmed:30239107;pubmed:31249027	
P2RX1	P2RX1	P51575	5023	P2RX1	0		pubmed:19225107;pubmed:26579528	
P2RX2	P2RX2	Q9UBL9	22953	P2RX2	0		pubmed:15304508;pubmed:26579528	
PCK1	PCKGC	P35558	5105	PCK1	0		pubmed:29090212	
PCYT1A	PCY1A	P49585	5130	PCYT1A	0		pubmed:6320931;pubmed:6574471;pubmed:9264395	CDP-choline can only accumulate if formed.
PCYT1B	PCY1B	Q9Y5K3	9468	PCYT1B	0		pubmed:6320931;pubmed:6574471;pubmed:9264395	CDP-choline can only accumulate if formed.
PDE1A	PDE1A	P54750	5136	PDE1A	0		pubmed:18586889;pubmed:19252089;pubmed:20631411;pubmed:21525805;pubmed:9701776	
PDE2A	PDE2A	O00408	5138	PDE2A	0		pubmed:19252089;pubmed:20631411;pubmed:21525805	
PDE3A	PDE3A	Q14432	5139	PDE3A	0		pubmed:20631411;pubmed:21525805	
PDE3B	PDE3B	Q13370	5140	PDE3B	0		pubmed:18586889;pubmed:20404042;pubmed:20631411;pubmed:21525805	
PDE4D	PDE4D	Q08499	5144	PDE4D	0		pubmed:20631411;pubmed:21525805	
PDE5A	PDE5A	O76074	8654	PDE5A	0		pubmed:21525805;pubmed:29024896	
PDE9A	PDE9A	O76083	5152	PDE9A	0		pubmed:18564357	
PEMT	PEMT	Q9UBM1	10400	PEMT	0		pubmed:2722775	
PRKCZ	KPCZ	Q05513	5590	PRKCZ	0		pubmed:11669302;pubmed:19758581;pubmed:20231105;pubmed:25757360;pubmed:9357764	
PRKD1	KPCD1	Q15139	5587	PRKD1	0		pubmed:11669302;pubmed:12628923;pubmed:19758581	
PRKG1	KGP1	Q13976	5592	PRKG1	0		pubmed:19758581;pubmed:29024896	
PTGS2	PGH2	P35354	5743	PTGS2	0		pubmed:15504548;pubmed:9785380	
PTPN3	PTN3	P26045	5774	PTPN3	0		pubmed:20231105;pubmed:7544351	
QPRT	NADC	Q15274	23475	QPRT	0		pubmed:2582090	
RAB3C	RAB3C	Q96E17	115827	RAB3C	0		pubmed:21951684	
RPS6KA4	KS6A4	O75676	8986	RPS6KA4	0		pubmed:26611568	
RPS6KA5	KS6A5	O75582	9252	RPS6KA5	0		pubmed:26611568	
SCD	SCD	O00767	6319	SCD	0		pubmed:33904180	
SCN4A	SCN4A	P35499	6329	SCN4A	0		pubmed:15292511	
SCN9A	SCN9A	Q15858	6335	SCN9A	0		pubmed:15292511	
SLC12A4	S12A4	Q9UP95	6560	SLC12A4	0		pubmed:14976052;pubmed:15911086;pubmed:35848620	
SLC16A9	MOT9	Q7RTY1	220963	SLC16A9	0		pubmed:38513237	
SLC17A7	VGLU1	Q9P2U7	57030	SLC17A7	0		pubmed:10820226;pubmed:10962014	
SLC19A2	S19A2	O60779	10560	SLC19A2	0		pubmed:10391223;pubmed:10874303;pubmed:1326679;pubmed:222854;pubmed:2283678;pubmed:7707690	
SLC1A1	EAA3	P43005	6505	SLC1A1	0		pubmed:22389252	
SLC22A16	S22AG	Q86VW1	85413	SLC22A16	0		pubmed:35108516;pubmed:38513237	
SLC22A4	S22A4	Q9H015	6583	SLC22A4	0		pubmed:15588940;pubmed:15795384	
SLC22A7	S22A7	Q9Y694	10864	SLC22A7	0		pubmed:29244191;pubmed:6096072	
SLC25A31	ADT4	Q9H0C2	83447	SLC25A31	0		pubmed:21795748;pubmed:27641616	
SLC2A2	GTR2	P11168	6514	SLC2A2	0		pubmed:9166863	
SLC2A5	GTR5	P22732	6518	SLC2A5	0		pubmed:9166863	
SLC39A10	S39AA	Q9ULF5	57181	SLC39A10	0		pubmed:22456662;pubmed:27422508	
SLC39A8	S39A8	Q9C0K1	64116	SLC39A8	0		pubmed:22456662;pubmed:27422508	
SLC41A1	S41A1	Q8IVJ1	254428	SLC41A1	0		pubmed:15353477;pubmed:36331552	
SLC52A1	S52A1	Q9NWF4	55065	SLC52A1	0		doi:10.1182/blood-2019-124380;pubmed:5455272	
SLC6A9	SC6A9	P48067	6536	SLC6A9	0		pubmed:2703819;pubmed:28495915;pubmed:7320944	
SLC9B2	SL9B2	Q86UD5	133308	SLC9B2	0		pubmed:18000046;pubmed:18508966	
SLCO1A2	SO1A2	P46721	6579	SLCO1A2	0		pubmed:27504015	
SLCO2B1	SO2B1	O94956	11309	SLCO2B1	0		pubmed:27504015	
SMPD1	ASM	P17405	6609	SMPD1	0		pubmed:25075126	
SMPD3	NSMA2	Q9NY59	55512	SMPD3	0		pubmed:22824271;pubmed:25075126	pubmed:25075126;pubmed:22824271
ST3GAL1	SIA4A	Q11201	6482	ST3GAL1	0		pubmed:3084191;pubmed:5003667	
ST3GAL2	SIA4B	Q16842	6483	ST3GAL2	0		pubmed:3084191;pubmed:5003667	
TRPC6	TRPC6	Q9Y210	7225	TRPC6	0		pubmed:18209485	
TSPO2	TSPO2	Q5TGU0	222642	TSPO2	0		pubmed:27641616;pubmed:30061676;pubmed:31989647	
